repo,build_system,commit_sha,size_bin,module_shape,notes
Netflix/concurrency-limits,gradle,78a74b9878d38c4c048b0304ce12a162ab7b7222,small,single-module,Small Gradle concurrency library; prior sweep compiled with RTA call graph
MultiPaper/MultiPaper,gradle,7af143b66299c68a50a7dce3997214ac5cb39c9a,medium,multi-module,Gradle Minecraft server fork; prior sweep compiled with RTA call graph
json-path/JsonPath,gradle,62a4c9f0f65ba3f625aa0867d64c528ba72d09ec,medium,multi-module,Gradle JSONPath library; prior sweep compiled with RTA call graph
wiztools/rest-client,gradle,e4e25f05f3b9d7468f8dc08620d535ededbda178,medium,single-module,Gradle REST client project; prior sweep compiled with RTA call graph
Netflix/ribbon,gradle,2a55b5da9749cd416350193b0ea739d7cd6b2a2e,medium,multi-module,Gradle Netflix library; prior sweep compiled with RTA call graph
Netflix/zuul,gradle,fc4cd30a71450919afda27d9b314b93dfa2ff0dc,medium,multi-module,Gradle gateway project; prior sweep compiled with RTA call graph
FXMisc/RichTextFX,gradle,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,medium,single-module,Gradle JavaFX library; prior sweep compiled with RTA call graph
Netflix/eureka,gradle,8227a727534338909ef8c3b5ee3dca7641921f62,large,multi-module,Gradle service discovery project; prior sweep compiled with RTA call graph
JFormDesigner/FlatLaf,gradle,188de9360dc527eef0307d2aecbe188c5bdfc123,large,multi-module,Gradle Swing look-and-feel project; prior sweep compiled with RTA call graph
controlsfx/controlsfx,gradle,cb982c86167cf007c894cfa0854e2e33e74a58fb,large,multi-module,Gradle JavaFX controls project; prior sweep compiled with RTA call graph
apache/commons-weaver,maven,d6b1aa0b191452fbbe2182ada00a30902ee1c55d,small,multi-module,Apache Commons Maven project from OE25; prior sweep compiled with RTA call graph
java-diff-utils/java-diff-utils,maven,5e2e5b981533964aaeb19e2ba56d0f53dbd8b2dc,small,multi-module,Maven diff utility; prior sweep compiled with RTA call graph
eirslett/frontend-maven-plugin,maven,081731fd9cdba5bf05e5edaa8b27718e0d858d4a,small,single-module,Maven plugin project; prior sweep compiled with RTA call graph
DerekYRC/mini-spring,maven,6d0230d72f82c146a93c68693d9c7d2ff285c028,small,multi-module,Maven educational framework with real multi-module build; prior sweep compiled with RTA call graph
ulisesbocchio/jasypt-spring-boot,maven,2243cb8070943f480a278e216239f79ad957c98c,small,multi-module,Maven Spring Boot library; prior sweep compiled with RTA call graph
monkeyWie/proxyee,maven,c2c5bb4ccac0ef260bd2b954379fc5dd1e0eaeb1,small,multi-module,Maven proxy library; prior sweep compiled with RTA call graph
devnied/EMV-NFC-Paycard-Enrollment,maven,1176c15193f69ba9d9480a8e6358f410b168a2c3,small,single-module,Maven NFC card parser; prior sweep compiled with RTA call graph
stleary/JSON-java,maven,4a23fd8d9b57d5f16d9ecf1d2b573fee7c073c4a,medium,single-module,OE25 JSON library; prior sweep compiled with RTA call graph
apache/commons-dbutils,maven,a1034beb6ee791e3a7b2755af4d1d591162ec57f,medium,single-module,Apache Commons Maven project from OE25; prior sweep compiled with RTA call graph
apache/commons-pool,maven,e897e175f321718f8fd3999ddc36372ee6c75c29,medium,single-module,Apache Commons Maven project from OE25; prior sweep compiled with RTA call graph
